project_name,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月
,,,,,,,,,,,,,,
internet-archive,2022-06-01,6.0,6.0,5.0,5.0,7.0,3.0,18.0,13.0,17.0,9.0,12.0,12.0,15.0
paulmillr,2021-04-01,1.0,0.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,1.0,6.0
solhint-protofire,2023-08-01,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
libp2p,2024-04-01,84.0,180.0,210.0,124.0,100.0,43.0,134.0,121.0,76.0,114.0,104.0,296.0,147.0
metricsdao,2023-08-01,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shambadynamic,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0
freedom-of-the-press-foundation,2021-09-01,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
walletconnect,2020-02-01,4.0,2.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,8.0,3.0
psf,2020-12-01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0
lido,2021-01-01,0.0,0.0,0.0,0.0,1.0,7.0,5.0,0.0,1.0,4.0,0.0,0.0,4.0
babel,2021-06-01,3.0,0.0,15.0,4.0,16.0,4.0,6.0,2.0,5.0,4.0,4.0,5.0,3.0
db3-dbpunk-labs,2023-04-01,0.0,7.0,12.0,2.0,7.0,8.0,1.0,1.0,19.0,11.0,1.0,0.0,0.0
sismo-core,2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ankr-network,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,24.0,3.0,8.0,7.0,7.0
sourcecred,2021-11-01,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0
nftstorage,2024-04-01,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,7.0,0.0,0.0,0.0
1hive,2020-07-01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,5.0,1.0,6.0
cyberconnecthq,2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
blocknative,2023-09-01,17.0,11.0,25.0,4.0,14.0,10.0,13.0,22.0,3.0,2.0,0.0,5.0,13.0
quest-chains,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
turbo-eth,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
samepage-network,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,54.0,7.0,20.0
labdao,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
shapeshift,2023-04-01,52.0,23.0,24.0,52.0,41.0,25.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
amphitheatre-app,2023-11-01,15.0,0.0,7.0,1.0,7.0,32.0,3.0,25.0,49.0,42.0,4.0,8.0,13.0
migalabs,2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
unlock-protocol,2024-04-01,4.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
cryptorubic,2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,4.0,3.0
blocksecteam,2023-04-01,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
usecannon,2024-10-01,5.0,6.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,5.0,0.0,0.0
chainlink,2022-06-01,0.0,1.0,1.0,8.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
loop-decoder-3loop,2024-04-01,3.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,7.0,2.0,2.0,12.0,13.0
cyfrin,2023-09-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,4.0,2.0,2.0,6.0
aoraki-labs,2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0
dmailofficial,2022-06-01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brightid,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,7.0,3.0,3.0,3.0,2.0
p2plabsxyz,2025-04-01,0.0,0.0,0.0,1.0,28.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
web3,2024-04-01,4.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0
namehash,2024-04-01,1.0,6.0,2.0,0.0,1.0,11.0,13.0,4.0,0.0,1.0,0.0,4.0,1.0
quic-go,2024-04-01,5.0,0.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,4.0
shutter-network,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
prysmaticlabs,2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
helheimlabs,2023-08-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kredeum,2021-11-01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jiffy-labs,2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
smoothly-protocol,2023-08-01,0.0,0.0,3.0,0.0,1.0,0.0,0.0,6.0,2.0,3.0,3.0,3.0,1.0
crunchdao,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
